region,country,state,city,month,day,year,avgtemperature
Africa,Algeria,NULL,Algiers,1,1,2019,50.6
Africa,Algeria,NULL,Algiers,2,1,2019,61.8
Africa,Algeria,NULL,Algiers,3,1,2019,51.4
Africa,Algeria,NULL,Algiers,4,1,2019,60.5
Africa,Algeria,NULL,Algiers,5,1,2019,61.5
Africa,Algeria,NULL,Algiers,6,1,2019,65.6
Africa,Algeria,NULL,Algiers,7,1,2019,77.5
Africa,Algeria,NULL,Algiers,8,1,2019,91.6
Africa,Algeria,NULL,Algiers,9,1,2019,77.7
Africa,Algeria,NULL,Algiers,10,1,2019,72.4
Africa,Algeria,NULL,Algiers,11,1,2019,70
Africa,Algeria,NULL,Algiers,12,1,2019,56.7
Africa,Egypt,NULL,Cairo,1,1,2019,57.9
Africa,Egypt,NULL,Cairo,2,1,2019,62.7
Africa,Egypt,NULL,Cairo,3,1,2019,58.9
Africa,Egypt,NULL,Cairo,4,1,2019,62.5
Africa,Egypt,NULL,Cairo,5,1,2019,86.1
Africa,Egypt,NULL,Cairo,6,1,2019,85.6
Africa,Egypt,NULL,Cairo,7,1,2019,86.4
Africa,Egypt,NULL,Cairo,8,1,2019,86
Africa,Egypt,NULL,Cairo,9,1,2019,84.7
Africa,Egypt,NULL,Cairo,10,1,2019,79
Africa,Egypt,NULL,Cairo,11,1,2019,72.4
Africa,Egypt,NULL,Cairo,12,1,2019,68
Africa,Ethiopia,NULL,Addis Ababa,1,1,2019,58.6
Africa,Ethiopia,NULL,Addis Ababa,2,1,2019,63.5
Africa,Ethiopia,NULL,Addis Ababa,3,1,2019,71.5
Africa,Ethiopia,NULL,Addis Ababa,4,1,2019,67
Africa,Ethiopia,NULL,Addis Ababa,6,1,2019,62.3
Africa,Ethiopia,NULL,Addis Ababa,7,1,2019,63.9
Africa,Ethiopia,NULL,Addis Ababa,8,1,2019,60.9
Africa,Ethiopia,NULL,Addis Ababa,9,1,2019,62.8
Africa,Ethiopia,NULL,Addis Ababa,10,1,2019,60.7
Africa,Ethiopia,NULL,Addis Ababa,11,1,2019,64.2
Africa,Ethiopia,NULL,Addis Ababa,12,1,2019,61.3
Africa,Morocco,NULL,Rabat,1,1,2019,50.6
Africa,Morocco,NULL,Rabat,2,1,2019,57.7
Africa,Morocco,NULL,Rabat,3,1,2019,53.3
Africa,Morocco,NULL,Rabat,4,1,2019,59.5
Africa,Morocco,NULL,Rabat,5,1,2019,65
Africa,Morocco,NULL,Rabat,6,1,2019,71.5
Africa,Morocco,NULL,Rabat,7,1,2019,69
Africa,Morocco,NULL,Rabat,8,1,2019,73.7
Africa,Morocco,NULL,Rabat,9,1,2019,72.6
Africa,Morocco,NULL,Rabat,10,1,2019,66.9
Africa,Morocco,NULL,Rabat,11,1,2019,67.1
Africa,Morocco,NULL,Rabat,12,1,2019,55.8
Africa,Madagascar,NULL,Antananarivo,1,1,2019,71.6
Africa,Madagascar,NULL,Antananarivo,2,1,2019,70.3
Africa,Madagascar,NULL,Antananarivo,3,1,2019,71.4
Africa,Madagascar,NULL,Antananarivo,4,1,2019,72.4
Africa,Madagascar,NULL,Antananarivo,5,1,2019,64
Africa,Madagascar,NULL,Antananarivo,6,1,2019,61.1
Africa,Madagascar,NULL,Antananarivo,7,1,2019,59.4
Africa,Madagascar,NULL,Antananarivo,8,1,2019,63.3
Africa,Madagascar,NULL,Antananarivo,9,1,2019,63.2
Africa,Madagascar,NULL,Antananarivo,10,1,2019,69
Africa,Madagascar,NULL,Antananarivo,11,1,2019,69.1
Africa,Madagascar,NULL,Antananarivo,12,1,2019,69.3
Africa,Nigeria,NULL,Niamey,1,1,2019,76.2
Africa,Nigeria,NULL,Niamey,2,1,2019,80
Africa,Nigeria,NULL,Niamey,3,1,2019,78.6
Africa,Nigeria,NULL,Niamey,4,1,2019,95.9
Africa,Nigeria,NULL,Niamey,5,1,2019,98.2
Africa,Nigeria,NULL,Niamey,6,1,2019,84.7
Africa,Nigeria,NULL,Niamey,7,1,2019,94.5
Africa,Nigeria,NULL,Niamey,8,1,2019,83.5
Africa,Nigeria,NULL,Niamey,9,1,2019,89.9
Africa,Nigeria,NULL,Niamey,10,1,2019,85.9
Africa,Nigeria,NULL,Niamey,11,1,2019,91.6
Africa,Nigeria,NULL,Niamey,12,1,2019,84.6
Asia,China,NULL,Beijing,1,1,2019,22.7
Asia,China,NULL,Beijing,2,1,2019,25.3
Asia,China,NULL,Beijing,3,1,2019,43.2
Asia,China,NULL,Beijing,4,1,2019,52
Asia,China,NULL,Beijing,5,1,2019,70.6
Asia,China,NULL,Beijing,6,1,2019,74.3
Asia,China,NULL,Beijing,7,1,2019,86.1
Asia,China,NULL,Beijing,8,1,2019,84.6
Asia,China,NULL,Beijing,9,1,2019,76.4
Asia,China,NULL,Beijing,10,1,2019,71.6
Asia,China,NULL,Beijing,11,1,2019,55.4
Asia,China,NULL,Beijing,12,1,2019,32.8
Asia,Hong Kong,NULL,Hong Kong,1,1,2019,55.3
Asia,Hong Kong,NULL,Hong Kong,2,1,2019,64.7
Asia,Hong Kong,NULL,Hong Kong,3,1,2019,71.6
Asia,Hong Kong,NULL,Hong Kong,4,1,2019,69.6
Asia,Hong Kong,NULL,Hong Kong,5,1,2019,75.7
Asia,Hong Kong,NULL,Hong Kong,6,1,2019,83
Asia,Hong Kong,NULL,Hong Kong,7,1,2019,88.2
Asia,Hong Kong,NULL,Hong Kong,8,1,2019,80.4
Asia,Hong Kong,NULL,Hong Kong,9,1,2019,84.5
Asia,Hong Kong,NULL,Hong Kong,10,1,2019,87.3
Asia,Hong Kong,NULL,Hong Kong,11,1,2019,79.7
Asia,Hong Kong,NULL,Hong Kong,12,1,2019,69.8
